element,Z,Zv,channel,alpha1,alpha2,alpha3,c1,c2,c3,c4,c5,c6
H,1,1,core,16.22,5.55,,1.1924,-0.1924,,,,
H,1,1,l0,17.08,23.54,25.42,0.0950,-0.0842,-0.0443,-0.0519,0.0084,0.0122
H,1,1,l1,1.71,3.86,8.08,-0.2475,-0.2727,-0.0301,-0.0094,-0.0291,0.0018
H,1,1,l2,2.44,3.30,4.47,-0.6887,0.0913,-0.1809,-0.0881,-0.0541,0.0058
He,2,2,core,56.23,19.24,,1.1998,-0.1998,,,,
He,2,2,l0,65.16,80.72,89.81,0.1418,-0.1252,-0.0670,-0.0749,0.0110,0.0166
He,2,2,l1,7.89,22.12,25.92,-0.5936,-0.2780,0.0535,0.1278,0.0246,0.0124
He,2,2,l2,0.93,15.09,23.06,-1.1044,-0.6780,0.0847,0.2954,-0.0699,0.0057
Li,3,1,core,1.84,0.73,,2.9081,-1.9081,,,,
Li,3,1,l0,1.10,1.23,1.42,-1.4520,0.2543,0.0381,0.0581,-0.0004,-0.0114
Li,3,1,l1,2.48,7.47,8.20,-0.0046,-0.1402,0.1055,0.1259,0.0241,0.0122
Li,3,1,l2,0.33,0.46,0.62,-0.6347,-0.5406,-0.1712,-0.0055,-0.0300,0.0316
Be,4,2,core,2.61,1.00,,1.5280,-0.5280,,,,
Be,4,2,l0,2.20,2.46,2.74,-1.5794,0.4081,0.0459,0.0746,-0.0007,-0.0157
Be,4,2,l1,2.45,15.31,24.62,0.5140,-0.0694,-0.0457,-0.1549,-0.0300,0.0033
Be,4,2,l2,1.14,1.31,1.47,-0.5444,-0.3612,-0.0488,-0.0664,0.0129,0.0156
B,5,3,core,6.21,2.47,,1.6546,-0.6546,,,,
B,5,3,l0,3.85,4.24,4.78,-2.1425,0.4462,0.0505,0.0894,0.0031,-0.0166
B,5,3,l1,2.71,2.98,7.48,0.2076,0.0707,-0.1583,0.0919,-0.0411,0.0048
B,5,3,l2,1.97,2.46,2.77,-0.8961,-0.5528,-0.0688,-0.0508,-0.0069,0.0226
C,6,4,core,9.28,3.69,,1.5222,-0.5222,,,,
C,6,4,l0,5.99,6.75,7.84,-2.4586,0.5262,0.0468,0.0913,0.0037,-0.0171
C,6,4,l1,4.31,4.74,11.92,0.2520,0.0952,-0.1687,0.1009,-0.0447,0.0046
C,6,4,l2,2.97,3.63,3.97,-0.9890,-0.6244,-0.1027,-0.0602,0.0118,0.0223
N,7,5,core,12.87,5.12,,1.4504,-0.4504,,,,
N,7,5,l0,7.70,9.13,11.46,-2.7030,0.4479,0.0930,0.1109,-0.0006,-0.0208
N,7,5,l1,6.47,7.12,17.92,0.3085,0.1260,-0.1754,0.1091,-0.0483,0.0050
N,7,5,l2,4.15,4.95,5.36,-1.1252,-0.6889,-0.1081,-0.0669,0.0147,0.0292
O,8,6,core,18.09,7.19,,1.4224,-0.4224,,,,
O,8,6,l0,11.13,13.29,16.72,-3.0282,0.5619,0.0579,0.1023,0.0040,-0.0187
O,8,6,l1,9.31,10.24,26.07,0.3311,0.1360,-0.1867,0.1150,-0.0504,0.0051
O,8,6,l2,5.87,7.12,8.05,-1.2035,-0.7542,-0.1158,-0.0806,0.0128,0.0274
F,9,7,core,23.78,9.45,,1.3974,-0.3974,,,,
F,9,7,l0,14.86,17.23,20.40,-3.2328,0.6759,0.0344,0.1089,0.0108,-0.0196
F,9,7,l1,13.00,14.30,36.72,0.3796,0.1601,-0.1932,0.1203,-0.0524,0.0054
F,9,7,l2,7.78,9.02,10.17,-1.3425,-0.8033,-0.1176,-0.0850,0.0047,0.0285
F,9,7,so1,15.51,22.39,28.43,-0.0044,-0.0008,0.0002,0.0000,0.0000,0.0000
Ne,10,8,core,29.13,11.58,,1.3711,-0.3711,,,,
Ne,10,8,l0,17.61,20.97,26.47,-3.4264,0.6156,0.0747,0.1241,0.0070,-0.0226
Ne,10,8,l1,16.05,17.66,45.22,0.4077,0.1726,-0.2057,0.1283,-0.0560,0.0054
Ne,10,8,l2,9.17,11.32,12.33,-1.4102,-0.8951,-0.1337,-0.0911,0.0255,0.0450
Ne,10,8,so1,17.64,25.73,34.05,-0.0056,-0.0013,0.0002,0.0000,0.0000,0.0000
Na,11,1,core,1.71,0.50,,5.1815,-4.1815,,,,
Na,11,1,l0,0.99,1.10,1.24,-2.4718,0.3334,0.0619,0.0890,-0.0014,-0.0123
Na,11,1,l1,0.51,0.65,0.84,-1.6202,-0.4908,-0.0861,0.0375,-0.0161,0.0070
Na,11,1,l2,0.38,0.55,0.73,-0.9415,-0.9710,-0.2336,-0.0593,-0.0228,0.0455
Mg,12,2,core,2.04,0.81,,3.5602,-2.5602,,,,
Mg,12,2,l0,1.38,1.49,1.81,-2.8667,0.4554,0.0723,0.0876,-0.0015,-0.0142
Mg,12,2,l1,0.82,1.29,1.60,-1.9343,-0.2867,-0.0215,0.0264,0.0097,0.0038
Mg,12,2,l2,0.47,0.66,0.88,-1.1475,-1.0778,-0.3055,-0.0719,-0.0330,0.0588
Al,13,3,core,1.77,0.70,,1.7905,-0.7905,,,,
Al,13,3,l0,1.92,2.10,2.39,-2.6670,0.7075,0.0251,0.0608,-0.0134,-0.0161
Al,13,3,l1,0.82,1.13,1.51,-1.5706,-0.2352,0.0327,0.0262,-0.0090,-0.0047
Al,13,3,l2,1.36,1.59,1.77,-0.2574,-0.5358,-0.0668,-0.1835,0.0187,0.0551
Si,14,4,core,2.16,0.86,,1.6054,-0.6054,,,,
Si,14,4,l0,2.48,2.81,3.09,-3.0575,0.8096,0.0012,0.0511,-0.0217,-0.0128
Si,14,4,l1,1.24,1.60,2.12,-1.7966,-0.0986,0.0424,0.0284,-0.0030,-0.0039
Si,14,4,l2,1.89,2.22,2.48,-0.1817,-0.5634,-0.0944,-0.2168,0.0215,0.0588
P,15,5,core,2.59,1.03,,1.4995,-0.4995,,,,
P,15,5,l0,2.82,3.21,4.19,-3.3940,0.7363,0.0787,0.0639,-0.0318,-0.0103
P,15,5,l1,1.83,2.15,2.51,-2.0001,0.0851,0.0377,0.0271,-0.0008,-0.0044
P,15,5,l2,2.39,2.78,3.16,-0.1719,-0.6077,-0.1112,-0.2485,0.0206,0.0634
P,15,5,so1,0.43,0.53,0.70,-0.0073,-0.0042,-0.0008,-0.0011,0.0003,-0.0016
S,16,6,core,2.99,1.19,,1.4261,-0.4261,,,,
S,16,6,l0,3.37,3.71,4.69,-3.6230,0.8028,0.1087,0.0697,-0.0439,-0.0062
S,16,6,l1,2.09,2.67,3.51,-2.1440,0.0083,0.0601,0.0318,-0.0038,-0.0053
S,16,6,l2,2.97,3.48,3.97,-0.1018,-0.6482,-0.1307,-0.2799,0.0200,0.0672
S,16,6,so1,0.54,0.66,0.87,-0.0090,-0.0051,-0.0011,-0.0013,0.0003,-0.0020
Cl,17,7,core,3.48,1.38,,1.3860,-0.3860,,,,
Cl,17,7,l0,4.94,9.61,15.05,-3.6651,1.2609,-0.5528,-0.3237,0.0368,0.0150
Cl,17,7,l1,2.41,3.16,4.73,-2.3089,-0.0556,0.0784,0.0357,-0.0080,-0.0060
Cl,17,7,l2,4.04,4.83,5.40,0.0968,-0.6838,-0.1482,-0.3090,0.0218,0.0735
Cl,17,7,so1,0.70,0.86,1.10,-0.0112,-0.0059,-0.0010,-0.0015,0.0005,-0.0020
Ar,18,8,core,3.99,1.59,,1.3622,-0.3622,,,,
Ar,18,8,l0,4.67,5.28,6.26,-4.1009,0.9478,0.1062,0.0805,-0.0524,-0.0079
Ar,18,8,l1,2.91,3.69,6.16,-2.4688,-0.0363,0.0854,0.0374,-0.0108,-0.0067
Ar,18,8,l2,5.10,5.92,6.62,0.1771,-0.7316,-0.1536,-0.3351,0.0117,0.0742
Ar,18,8,so1,0.90,1.10,1.45,-0.0139,-0.0068,-0.0008,-0.0016,0.0009,-0.0018
K,19,1,core,1.42,0.26,,6.3140,-5.3140,,,,
K,19,1,l0,0.58,0.64,0.71,-3.9287,0.2938,-0.0613,0.1062,0.0000,-0.0092
K,19,1,l1,0.39,0.56,0.73,-3.2276,-0.4254,-0.1754,0.0803,0.0067,0.0111
K,19,1,l2,2.84,3.12,55.36,2.0774,-0.7044,-0.1248,-0.3174,-0.0802,-0.0004
Ca,20,2,core,1.61,0.45,,4.8360,-3.8360,,,,
Ca,20,2,l0,0.75,1.19,2.08,-4.7576,0.3179,-0.1286,0.0279,0.0520,0.0054
Ca,20,2,l1,0.67,2.23,2.99,-4.1513,0.0156,-0.1494,-0.2563,-0.0404,-0.0179
Ca,20,2,l2,6.92,24.35,86.59,3.0392,-1.0190,0.2634,0.4961,-0.0295,0.0089
Sc,21,3,core,3.96,0.69,,3.7703,-2.7703,,,,
Sc,21,3,l0,0.93,1.25,1.65,-6.0205,-0.3209,-0.4627,0.1373,0.0055,0.0174
